1,CF 300 FA,BV-45-KS,25/02/2018,Beschikbaar
2,CF 300 FA,BX-85-JL,21/01/2018,Beschikbaar
3,CF 300 FA,BW-84-KL,01/12/2017,Beschikbaar
4,CF 300 FA,BA-14-GF,14/09/2018,Beschikbaar
5,CF 300 FA,BP-77-TX,04/08/2018,Beschikbaar
6,CF 300 FA,BZ-84-DR,08/06/2018,Beschikbaar
7,CF 300 FA,BHT-87-L,08/06/2018,Onderhoud
8,CF 300 FA,BVT-96-R,08/06/2018,Onderhoud
9,CF 300 FA,BPH-44-X,14/09/2018,Beschikbaar
10,CF 300 FA,BY-749-B,14/09/2018,Beschikbaar
11,CF 300 FA,BF-659-V,14/09/2018,Beschikbaar
12,CF 410 FTN,BT-83-BP,14/09/2018,Beschikbaar
13,CF 410 FTN,BT-86-GH,14/09/2018,Beschikbaar
14,CF 410 FTN,BTT-58-J,23/10/2018,Beschikbaar
15,CF 410 FTN,BYK-71-S,23/10/2018,Beschikbaar
16,CF 410 FTN,BGP-56-Z,23/10/2018,Beschikbaar
17,CF 410 FTN,BBD-10-D,23/10/2018,Beschikbaar
18,XF 430 FTM,BZ-89-LW,23/10/2018,Beschikbaar
19,XF 430 FTM,B-845-KH,11/12/2018,Beschikbaar
20,XF 430 FTM,BWP-32-S,11/12/2018,Beschikbaar
